,donorID,province,region,gender,language,number_of_campaigns,total_amount,Q1_Donations,Q2_Donations,Q3_Donations,Q4_Donations,days_since_contributed,mean,min,max,Q1_Max,Q2_Max,Q3_Max,Q4_Max,Q1_Mean,Q2_Mean,Q3_Mean,Q4_Mean,Q1_Amount,Q2_Amount,Q3_Amount,Q4_Amount,Q1_Min,Q2_Min,Q3_Min,Q4_Min,age,age-group,amount,has_contributed
2036,103450,East Flanders,Flanders,F,NL,5.0,162.39,1.0,1.0,2.0,1.0,2846.0,32.477999999999994,12.39,45.0,45.0,12.39,40.0,25.0,45.0,12.39,40.0,25.0,45.0,12.39,80.0,25.0,45.0,12.39,40.0,25.0,54,50,,0
2037,103451,East Flanders,Flanders,F,NL,1.0,30.0,,,,1.0,2996.0,30.0,30.0,30.0,,,,30.0,,,,30.0,,,,30.0,,,,30.0,75,70,,0
2038,103452,East Flanders,Flanders,M,NL,4.0,99.16,1.0,,2.0,1.0,4754.0,24.79,24.79,24.79,24.79,,24.79,24.79,24.79,,24.79,24.79,24.79,,49.58,24.79,24.79,,24.79,24.79,41,40,,0
2039,103454,East Flanders,Flanders,F,NL,14.0,396.78,4.0,4.0,3.0,3.0,1304.0,28.34142857142857,10.0,50.0,50.0,50.0,24.79,24.79,37.3425,31.465,19.86,20.656666666666666,149.37,125.86,59.58,61.97,24.79,24.79,10.0,12.39,31,30,,0
2040,103456,West Flanders,Flanders,M,NL,3.0,56.0,,1.0,2.0,,468.0,18.666666666666668,13.0,30.0,,13.0,30.0,,,13.0,21.5,,,13.0,43.0,,,13.0,13.0,,95,90,,0
2041,103459,East Flanders,Flanders,M,NL,19.0,103.44,5.0,5.0,2.0,7.0,1772.0,5.444210526315789,5.0,10.0,10.0,5.0,5.0,7.44,6.2,5.0,5.0,5.348571428571428,31.0,25.0,10.0,37.44,5.0,5.0,5.0,5.0,63,60,,0
2042,103460,East Flanders,Flanders,M,NL,1.0,9.92,1.0,,,,5107.0,9.92,9.92,9.92,9.92,,,,9.92,,,,9.92,,,,9.92,,,,41,40,,0
2043,103461,East Flanders,Flanders,F,NL,17.0,555.24,5.0,1.0,7.0,4.0,1221.0,32.66117647058824,24.79,41.0,33.81,30.0,41.0,32.5,30.518,30.0,35.308571428571426,31.3725,152.59,30.0,247.16,125.49,24.79,30.0,30.99,30.0,75,70,,0
2044,103463,East Flanders,Flanders,F,NL,2.0,34.79,,1.0,,1.0,30.0,17.395,10.0,24.79,,24.79,,10.0,,24.79,,10.0,,24.79,,10.0,,24.79,,10.0,48,40,,0
2045,103464,East Flanders,Flanders,F,NL,4.0,128.0,2.0,2.0,,,2080.0,32.0,30.0,35.0,35.0,30.0,,,34.0,30.0,,,68.0,60.0,,,33.0,30.0,,,45,40,,0
2046,103467,East Flanders,Flanders,M,NL,9.0,229.16,2.0,3.0,2.0,2.0,3149.0,25.462222222222223,10.0,30.0,30.0,30.0,30.0,30.0,27.395,21.596666666666664,27.395,27.395,54.79,64.78999999999999,54.79,54.79,24.79,10.0,24.79,24.79,31,30,,0
2047,103468,East Flanders,Flanders,M,NL,58.0,449.52,14.0,11.0,16.0,17.0,2511.0,7.750344827586207,4.96,23.55,15.0,20.0,14.87,23.55,7.477142857142858,7.25090909090909,7.62625,8.41529411764706,104.68,79.75999999999999,122.02,143.06,5.0,4.96,5.0,5.0,55,50,,0
2048,103469,East Flanders,Flanders,F,NL,10.0,134.42000000000002,4.0,2.0,2.0,2.0,2850.0,13.442000000000002,6.2,25.0,25.0,25.0,12.39,10.0,15.25,18.695,9.915000000000001,8.1,61.0,37.39,19.830000000000002,16.2,10.0,12.39,7.44,6.2,65,60,,0
2049,103471,East Flanders,Flanders,F,NL,18.0,177.31999999999996,3.0,4.0,3.0,8.0,4034.0,9.85111111111111,6.2,12.39,12.39,12.39,12.39,12.39,8.676666666666668,11.1525,10.74,9.3075,26.03,44.61,32.22,74.46,6.2,7.44,7.44,7.44,51,50,,0
2050,103472,East Flanders,Flanders,M,NL,6.0,196.6,1.0,3.0,1.0,1.0,1779.0,32.766666666666666,24.79,39.0,39.0,36.0,24.79,30.0,39.0,34.27,24.79,30.0,39.0,102.81,24.79,30.0,39.0,33.0,24.79,30.0,34,30,,0
2051,103474,East Flanders,Flanders,M,NL,14.0,263.86,5.0,2.0,2.0,5.0,3285.0,18.84714285714286,7.44,35.0,35.0,12.39,24.79,30.0,25.895999999999997,9.915000000000001,16.115,16.464,129.48,19.830000000000002,32.23,82.32,7.44,7.44,7.44,7.44,34,30,,0
2052,103476,East Flanders,Flanders,M,NL,7.0,178.73999999999998,1.0,1.0,2.0,3.0,3835.0,25.534285714285712,24.79,30.0,24.79,24.79,30.0,24.79,24.79,24.79,27.395,24.790000000000003,24.79,24.79,54.79,74.37,24.79,24.79,24.79,24.79,64,60,,0
2053,103477,East Flanders,Flanders,M,NL,59.0,1895.78,17.0,15.0,14.0,13.0,1092.0,32.13186440677966,24.79,66.0,66.0,30.0,60.0,50.0,32.656470588235294,29.305333333333333,34.582857142857144,32.067692307692305,555.16,439.58,484.15999999999997,416.88,24.79,24.79,24.79,24.79,26,20,,0
2054,103482,East Flanders,Flanders,M,NL,2.0,49.58,,1.0,,1.0,4431.0,24.79,24.79,24.79,,24.79,,24.79,,24.79,,24.79,,24.79,,24.79,,24.79,,24.79,77,70,,0
2055,103485,East Flanders,Flanders,F,NL,1.0,24.79,1.0,,,,5096.0,24.79,24.79,24.79,24.79,,,,24.79,,,,24.79,,,,24.79,,,,37,30,,0
2056,103488,East Flanders,Flanders,M,NL,15.0,519.51,4.0,3.0,5.0,3.0,3096.0,34.634,24.79,50.0,40.0,50.0,37.18,37.18,30.4525,46.526666666666664,33.230000000000004,30.656666666666666,121.81,139.57999999999998,166.15,91.97,24.79,40.0,24.79,24.79,63,60,,0
2057,103490,East Flanders,Flanders,M,NL,19.0,1158.75,6.0,5.0,4.0,4.0,44.0,60.98684210526316,24.79,247.89,100.0,247.89,123.95,50.0,51.79666666666666,95.494,52.1325,40.4925,310.78,477.46999999999997,208.53,161.97,25.0,30.0,24.79,24.79,36,30,,0
2058,103491,East Flanders,Flanders,M,NL,18.0,463.46999999999997,4.0,3.0,4.0,7.0,1239.0,25.74833333333333,12.39,41.0,35.0,24.79,41.0,24.79,28.697499999999998,24.790000000000003,28.295,23.018571428571423,114.78999999999999,74.37,113.18,161.12999999999997,24.79,24.79,12.39,12.39,35,30,,0
2059,103492,East Flanders,Flanders,M,NL,10.0,139.11,2.0,2.0,4.0,2.0,2028.0,13.911000000000001,4.96,24.79,24.79,5.0,24.79,12.39,14.895,5.0,20.4925,8.675,29.79,10.0,81.97,17.35,5.0,5.0,12.39,4.96,60,60,,0
2060,103493,East Flanders,Flanders,M,NL,3.0,62.48,1.0,,1.0,1.0,1746.0,20.826666666666664,2.48,30.0,30.0,,2.48,30.0,30.0,,2.48,30.0,30.0,,2.48,30.0,30.0,,2.48,30.0,42,40,,0
2061,103495,East Flanders,Flanders,F,NL,1.0,33.0,1.0,,,,2859.0,33.0,33.0,33.0,33.0,,,,33.0,,,,33.0,,,,33.0,,,,51,50,,0
2062,103497,East Flanders,Flanders,M,NL,12.0,345.44999999999993,1.0,1.0,6.0,4.0,3172.0,28.787499999999994,12.39,45.86,32.25,25.0,40.0,45.86,32.25,25.0,26.126666666666665,32.86,32.25,25.0,156.76,131.44,32.25,25.0,12.39,24.79,56,50,,0
2063,103501,East Flanders,Flanders,F,NL,3.0,80.45,,,1.0,2.0,4401.0,26.816666666666666,24.79,28.14,,,27.52,28.14,,,27.52,26.465,,,27.52,52.93,,,27.52,24.79,59,50,,0
2064,103503,East Flanders,Flanders,M,NL,16.0,435.43,3.0,6.0,2.0,5.0,2960.0,27.214375,24.79,33.81,32.23,33.81,30.0,30.0,27.27,28.278333333333332,27.395,25.832,81.81,169.67,54.79,129.16,24.79,24.79,24.79,24.79,39,30,,0
2065,103505,East Flanders,Flanders,F,NL,5.0,123.94999999999999,1.0,4.0,,,4215.0,24.79,24.79,24.79,24.79,24.79,,,24.79,24.79,,,24.79,99.16,,,24.79,24.79,,,59,50,,0
2066,103507,East Flanders,Flanders,M,NL,1.0,10.0,,1.0,,,2787.0,10.0,10.0,10.0,,10.0,,,,10.0,,,,10.0,,,,10.0,,,97,90,,0
2067,103508,East Flanders,Flanders,F,NL,2.0,57.04,1.0,1.0,,,3113.0,28.52,24.79,32.25,24.79,32.25,,,24.79,32.25,,,24.79,32.25,,,24.79,32.25,,,30,30,,0
2068,103510,East Flanders,Flanders,M,NL,24.0,1582.08,4.0,6.0,6.0,8.0,220.0,65.92,6.448,150.0,130.0,130.0,150.0,130.0,74.6135,49.65133333333333,90.85583333333334,55.072874999999996,298.454,297.908,545.135,440.58299999999997,39.0,32.227,32.227,6.448,61,60,,0
2069,103514,East Flanders,Flanders,F,NL,2.0,29.75,,,1.0,1.0,4789.0,14.875,4.96,24.79,,,4.96,24.79,,,4.96,24.79,,,4.96,24.79,,,4.96,24.79,64,60,,0
2070,103516,East Flanders,Flanders,F,NL,5.0,31.0,1.0,,4.0,,4865.0,6.2,6.2,6.2,6.2,,6.2,,6.2,,6.2,,6.2,,24.8,,6.2,,6.2,,45,40,,0
2071,103520,East Flanders,Flanders,F,NL,5.0,102.4,1.0,1.0,3.0,,1594.0,20.48,6.2,30.0,6.2,30.0,30.0,,6.2,30.0,22.066666666666666,,6.2,30.0,66.2,,6.2,30.0,6.2,,44,40,,0
2072,103521,East Flanders,Flanders,M,NL,1.0,12.39,,,,1.0,5128.0,12.39,12.39,12.39,,,,12.39,,,,12.39,,,,12.39,,,,12.39,72,70,,0
2073,103523,East Flanders,Flanders,F,NL,14.0,420.76,4.0,2.0,3.0,5.0,2027.0,30.054285714285715,24.79,37.18,32.23,35.0,30.0,37.18,29.875,32.5,28.263333333333332,30.294,119.5,65.0,84.78999999999999,151.47,27.27,30.0,24.79,24.79,71,70,,0
2074,103526,East Flanders,Flanders,F,NL,1.0,12.39,1.0,,,,5039.0,12.39,12.39,12.39,12.39,,,,12.39,,,,12.39,,,,12.39,,,,69,60,,0
2075,103527,East Flanders,Flanders,F,NL,1.0,30.0,,,1.0,,3022.0,30.0,30.0,30.0,,,30.0,,,,30.0,,,,30.0,,,,30.0,,73,70,,0
2076,103528,East Flanders,Flanders,F,NL,1.0,5.0,,,1.0,,3026.0,5.0,5.0,5.0,,,5.0,,,,5.0,,,,5.0,,,,5.0,,53,50,,0
2077,103531,East Flanders,Flanders,M,NL,2.0,24.78,,1.0,1.0,,4953.0,12.39,12.39,12.39,,12.39,12.39,,,12.39,12.39,,,12.39,12.39,,,12.39,12.39,,51,50,,0
2078,103532,East Flanders,Flanders,F,NL,8.0,241.79,4.0,1.0,1.0,2.0,2980.0,30.22375,24.79,35.0,35.0,30.0,30.0,30.0,30.447499999999998,30.0,30.0,30.0,121.78999999999999,30.0,30.0,60.0,24.79,30.0,30.0,30.0,38,30,,0
2079,103534,East Flanders,Flanders,M,NL,5.0,347.06,1.0,2.0,,2.0,4106.0,69.412,24.79,123.95,24.79,123.95,,49.58,24.79,111.555,,49.58,24.79,223.11,,99.16,24.79,99.16,,49.58,55,50,,0
2080,103535,East Flanders,Flanders,M,NL,3.0,79.58,,2.0,1.0,,2785.0,26.526666666666667,24.79,30.0,,30.0,24.79,,,27.395,24.79,,,54.79,24.79,,,24.79,24.79,,34,30,,0
2081,103536,East Flanders,Flanders,M,NL,15.0,104.37,6.0,1.0,1.0,7.0,3642.0,6.958,2.5,24.79,2.5,24.79,24.79,24.79,2.5,24.79,24.79,5.684285714285714,15.0,24.79,24.79,39.79,2.5,24.79,24.79,2.5,69,60,,0
2082,103537,East Flanders,Flanders,M,NL,7.0,209.16,2.0,,3.0,2.0,440.0,29.88,24.79,50.0,30.0,,24.79,50.0,27.395,,24.790000000000003,40.0,54.79,,74.37,80.0,24.79,,24.79,30.0,43,40,,0
2083,103538,East Flanders,Flanders,M,NL,19.0,821.9,6.0,4.0,3.0,6.0,913.0,43.257894736842104,10.0,200.0,200.0,123.95,50.0,50.0,49.833333333333336,73.225,25.0,25.833333333333332,299.0,292.9,75.0,155.0,10.0,20.0,10.0,10.0,31,30,,0
2084,103540,West Flanders,Flanders,F,NL,5.0,255.68099999999998,,,3.0,2.0,470.0,51.136199999999995,32.227,120.0,,,120.0,32.227,,,63.742333333333335,32.227,,,191.227,64.454,,,32.227,32.227,55,50,,0
2085,103541,East Flanders,Flanders,F,NL,15.0,632.8889999999999,6.0,3.0,3.0,3.0,90.0,42.19259999999999,32.227,120.0,39.0,39.0,120.0,53.3,34.48466666666666,36.742333333333335,63.742333333333335,41.509,206.908,110.227,191.227,124.527,32.227,32.227,32.227,32.227,81,80,,0
2086,103542,East Flanders,Flanders,M,NL,21.0,804.1600000000001,6.0,6.0,6.0,3.0,1107.0,38.29333333333334,24.79,50.06,50.0,50.06,50.0,50.0,39.13166666666667,42.475,31.586666666666662,41.666666666666664,234.79,254.85,189.51999999999998,125.0,24.79,24.79,24.79,35.0,99,90,,0
2087,103543,East Flanders,Flanders,M,NL,5.0,45.86,1.0,,2.0,2.0,4391.0,9.172,6.2,14.87,6.2,,14.87,12.39,6.2,,10.535,9.295,6.2,,21.07,18.59,6.2,,6.2,6.2,79,70,,0
2088,103547,East Flanders,Flanders,M,NL,16.0,443.53,6.0,2.0,4.0,4.0,1750.0,27.720625,24.79,30.0,30.0,30.0,30.0,30.0,28.263333333333332,27.395,26.0925,28.697499999999998,169.57999999999998,54.79,104.37,114.78999999999999,24.79,24.79,24.79,24.79,57,50,,0
2089,103550,East Flanders,Flanders,F,NL,5.0,74.538,,2.0,1.0,2.0,184.0,14.907599999999999,6.82,27.269,,13.629,20.0,27.269,,10.224499999999999,20.0,17.0445,,20.448999999999998,20.0,34.089,,6.82,20.0,6.82,90,90,,0
2090,103551,East Flanders,Flanders,F,NL,4.0,99.16,1.0,1.0,1.0,1.0,4218.0,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,24.79,70,70,,0
2091,103554,East Flanders,Flanders,F,NL,10.0,594.96,,4.0,3.0,3.0,4101.0,59.496,24.79,123.95,,49.58,123.95,123.95,,37.185,66.10666666666667,82.63333333333333,,148.74,198.32,247.89999999999998,,24.79,24.79,49.58,51,50,,0
2092,103555,East Flanders,Flanders,M,NL,41.0,923.7299999999999,12.0,12.0,7.0,10.0,1811.0,22.529999999999998,6.2,43.0,43.0,30.0,30.0,30.0,26.382500000000004,22.42833333333333,22.452857142857145,18.083000000000002,316.59000000000003,269.14,157.17000000000002,180.83,12.39,12.39,12.39,6.2,42,40,,0
2093,103561,Flemish Brabant,Flanders,F,NL,17.0,475.29,3.0,4.0,4.0,6.0,3864.0,27.95823529411765,24.79,49.58,49.58,30.0,24.79,36.0,35.53333333333333,27.395,24.79,26.65833333333333,106.6,109.58,99.16,159.95,24.79,24.79,24.79,24.79,31,30,,0
2094,103562,East Flanders,Flanders,M,NL,1.0,24.79,1.0,,,,5053.0,24.79,24.79,24.79,24.79,,,,24.79,,,,24.79,,,,24.79,,,,49,40,,0
2095,103563,East Flanders,Flanders,F,NL,11.0,290.61,3.0,5.0,1.0,2.0,2020.0,26.41909090909091,10.0,30.0,30.0,30.0,30.0,30.0,22.01,27.958,30.0,27.395,66.03,139.79,30.0,54.79,10.0,24.79,30.0,24.79,26,20,,0
2096,103570,East Flanders,Flanders,M,NL,5.0,44.84,,,3.0,2.0,896.0,8.968,5.0,10.0,,,10.0,10.0,,,8.306666666666667,9.96,,,24.92,19.92,,,5.0,9.92,34,30,,0
2097,103571,East Flanders,Flanders,M,NL,3.0,25.0,1.0,,2.0,,2498.0,8.333333333333334,5.0,10.0,5.0,,10.0,,5.0,,10.0,,5.0,,20.0,,5.0,,10.0,,63,60,,0
2098,103572,East Flanders,Flanders,M,NL,3.0,49.57,,2.0,,1.0,4283.0,16.523333333333333,12.39,24.79,,24.79,,12.39,,18.59,,12.39,,37.18,,12.39,,12.39,,12.39,42,40,,0
2099,103573,East Flanders,Flanders,M,NL,10.0,162.56,1.0,4.0,2.0,3.0,2093.0,16.256,5.0,35.0,11.0,33.0,35.0,22.0,11.0,14.3475,23.695,15.593333333333334,11.0,57.39,47.39,46.78,11.0,5.0,12.39,12.39,61,60,,0
2100,103574,East Flanders,Flanders,M,NL,2.0,22.310000000000002,1.0,,,1.0,4729.0,11.155000000000001,9.92,12.39,9.92,,,12.39,9.92,,,12.39,9.92,,,12.39,9.92,,,12.39,40,40,,0
2101,103575,East Flanders,Flanders,M,NL,5.0,39.92,1.0,,2.0,2.0,1754.0,7.984,2.48,30.0,30.0,,2.48,2.48,30.0,,2.48,2.48,30.0,,4.96,4.96,30.0,,2.48,2.48,42,40,,0
2102,103576,East Flanders,Flanders,M,NL,48.0,977.29,18.0,9.0,9.0,12.0,92.0,20.360208333333333,6.2,40.0,40.0,40.0,25.0,40.0,21.350555555555555,19.61888888888889,18.432222222222222,20.876666666666665,384.31,176.57,165.89,250.51999999999998,6.2,8.68,10.0,7.44,88,80,,0
2103,103580,East Flanders,Flanders,F,NL,1.0,24.79,1.0,,,,5057.0,24.79,24.79,24.79,24.79,,,,24.79,,,,24.79,,,,24.79,,,,52,50,,0
2104,103581,East Flanders,Flanders,F,NL,9.0,79.11,2.0,2.0,,5.0,3716.0,8.79,4.96,24.79,8.0,8.0,,24.79,8.0,6.48,,10.03,16.0,12.96,,50.15,8.0,4.96,,4.96,42,40,,0
2105,103586,East Flanders,Flanders,M,NL,16.0,401.85,3.0,4.0,6.0,3.0,3796.0,25.115625,24.79,30.0,24.79,24.79,30.0,24.79,24.790000000000003,24.79,25.65833333333333,24.790000000000003,74.37,99.16,153.95,74.37,24.79,24.79,24.79,24.79,44,40,,0
2106,103588,East Flanders,Flanders,F,NL,5.0,135.0,2.0,,1.0,2.0,1750.0,27.0,10.0,35.0,35.0,,30.0,30.0,32.5,,30.0,20.0,65.0,,30.0,40.0,30.0,,30.0,10.0,44,40,,0
2107,103590,East Flanders,Flanders,M,NL,10.0,310.18,5.0,1.0,1.0,3.0,2954.0,31.018,28.14,36.0,33.81,30.0,30.0,36.0,31.208,30.0,30.0,31.38,156.04,30.0,30.0,94.14,30.0,30.0,30.0,28.14,78,70,,0
2108,103591,East Flanders,Flanders,F,NL,2.0,79.58,,,,2.0,3716.0,39.79,30.0,49.58,,,,49.58,,,,39.79,,,,79.58,,,,30.0,30,30,,0
2109,103592,East Flanders,Flanders,F,NL,3.0,84.78999999999999,,1.0,,2.0,3356.0,28.263333333333332,24.79,30.0,,24.79,,30.0,,24.79,,30.0,,24.79,,60.0,,24.79,,30.0,50,50,,0
2110,103593,East Flanders,Flanders,M,NL,50.0,1036.85,13.0,17.0,7.0,13.0,963.0,20.737,12.39,41.0,40.0,41.0,40.0,30.0,20.15,22.398823529411764,25.0,16.855384615384615,261.95,380.78,175.0,219.12,12.39,12.39,15.0,12.39,52,50,,0
2111,103595,East Flanders,Flanders,M,NL,4.0,183.95,2.0,,1.0,1.0,3441.0,45.9875,24.79,60.0,49.58,,60.0,24.79,49.58,,60.0,24.79,99.16,,60.0,24.79,49.58,,60.0,24.79,74,70,,0
2112,103596,East Flanders,Flanders,M,NL,2.0,46.2,,1.0,,1.0,4393.0,23.1,12.39,33.81,,33.81,,12.39,,33.81,,12.39,,33.81,,12.39,,33.81,,12.39,37,30,,0
2113,103597,East Flanders,Flanders,F,NL,13.0,629.0889999999999,4.0,3.0,3.0,3.0,467.0,48.391461538461535,32.227,150.0,41.899,39.0,150.0,65.0,36.33825,36.742333333333335,73.74233333333333,50.76066666666667,145.353,110.227,221.227,152.282,32.227,32.227,32.227,36.582,63,60,,0
2114,103598,East Flanders,Flanders,M,NL,19.0,210.66,10.0,3.0,4.0,2.0,2125.0,11.08736842105263,2.48,30.0,30.0,30.0,30.0,3.0,9.235,11.826666666666666,19.3375,2.74,92.35,35.48,77.35,5.48,3.0,2.48,4.96,2.48,54,50,,0
2115,103599,East Flanders,Flanders,M,NL,1.0,6.2,1.0,,,,5113.0,6.2,6.2,6.2,6.2,,,,6.2,,,,6.2,,,,6.2,,,,63,60,,0
2116,103600,East Flanders,Flanders,F,NL,1.0,7.0,,,,1.0,3702.0,7.0,7.0,7.0,,,,7.0,,,,7.0,,,,7.0,,,,7.0,66,60,,0
2117,103601,East Flanders,Flanders,M,NL,3.0,12.48,1.0,1.0,,1.0,3249.0,4.16,2.48,5.0,5.0,5.0,,2.48,5.0,5.0,,2.48,5.0,5.0,,2.48,5.0,5.0,,2.48,58,50,,0
2118,103603,East Flanders,Flanders,M,NL,4.0,425.0,2.0,,1.0,1.0,2720.0,106.25,50.0,200.0,125.0,,200.0,50.0,87.5,,200.0,50.0,175.0,,200.0,50.0,50.0,,200.0,50.0,62,60,,0
2119,103606,East Flanders,Flanders,F,NL,2.0,129.672,,,1.0,1.0,472.0,64.836,9.672,120.0,,,120.0,9.672,,,120.0,9.672,,,120.0,9.672,,,120.0,9.672,53,50,,0
2120,103607,East Flanders,Flanders,F,NL,30.0,869.78,9.0,10.0,4.0,7.0,1664.0,28.992666666666665,24.79,40.0,40.0,40.0,30.0,30.0,29.043333333333333,30.815999999999995,27.7675,27.02285714285714,261.39,308.15999999999997,111.07,189.16,24.79,24.79,24.79,24.79,81,80,,0
2121,103610,East Flanders,Flanders,F,NL,2.0,12.43,,,1.0,1.0,2735.0,6.215,5.0,7.43,,,5.0,7.43,,,5.0,7.43,,,5.0,7.43,,,5.0,7.43,29,20,,0
2122,103613,East Flanders,Flanders,M,NL,3.0,41.25,,2.0,,1.0,4207.0,13.75,2.48,33.81,,33.81,,4.96,,18.145,,4.96,,36.29,,4.96,,2.48,,4.96,78,70,,0
2123,103615,East Flanders,Flanders,F,NL,1.0,49.58,,,,1.0,4794.0,49.58,49.58,49.58,,,,49.58,,,,49.58,,,,49.58,,,,49.58,67,60,,0
2124,103618,East Flanders,Flanders,M,NL,11.0,394.046,3.0,3.0,3.0,2.0,475.0,35.82236363636363,16.107,75.0,39.0,32.227,75.0,38.35,34.48466666666666,26.853666666666665,46.48466666666667,35.2885,103.454,80.56099999999999,139.454,70.577,32.227,16.107,32.227,32.227,88,80,,0
2125,103620,East Flanders,Flanders,F,NL,31.0,428.424,6.0,6.0,11.0,8.0,479.0,13.820129032258064,9.672,32.227,19.5,16.107,30.0,32.227,12.973999999999998,13.481,14.525363636363636,13.739374999999999,77.844,80.886,159.779,109.91499999999999,9.672,9.672,9.672,9.672,30,30,,0
2126,103622,East Flanders,Flanders,M,NL,11.0,323.53,2.0,3.0,1.0,5.0,2747.0,29.41181818181818,24.79,49.58,30.0,30.0,30.0,49.58,27.395,26.526666666666667,30.0,31.832,54.79,79.58,30.0,159.16,24.79,24.79,30.0,24.79,59,50,,0
2127,103625,East Flanders,Flanders,M,NL,7.0,178.73999999999998,1.0,,4.0,2.0,3754.0,25.534285714285712,24.79,30.0,24.79,,30.0,24.79,24.79,,26.0925,24.79,24.79,,104.37,49.58,24.79,,24.79,24.79,59,50,,0
2128,103626,East Flanders,Flanders,M,NL,8.0,198.95,2.0,,4.0,2.0,3350.0,24.86875,15.0,30.0,24.79,,24.79,30.0,24.79,,22.3425,30.0,49.58,,89.37,60.0,24.79,,15.0,30.0,58,50,,0
2129,103628,East Flanders,Flanders,F,NL,2.0,13.64,1.0,,1.0,,5066.0,6.82,6.2,7.44,6.2,,7.44,,6.2,,7.44,,6.2,,7.44,,6.2,,7.44,,69,60,,0
2130,103629,East Flanders,Flanders,M,NL,16.0,507.96999999999997,6.0,3.0,2.0,5.0,2901.0,31.748124999999998,20.0,49.58,40.0,32.0,49.58,40.0,34.166666666666664,28.929999999999996,34.79,29.32,205.0,86.78999999999999,69.58,146.6,30.0,24.79,20.0,24.79,38,30,,0
2131,103630,East Flanders,Flanders,F,NL,21.0,1333.7,5.0,4.0,7.0,5.0,3204.0,63.50952380952381,24.79,148.74,123.95,111.55,148.74,100.0,71.08,52.73,63.80571428571428,64.148,355.4,210.92,446.64,320.74,25.0,24.79,25.0,49.58,77,70,,0
2132,103631,East Flanders,Flanders,F,NL,34.0,536.79,7.0,8.0,8.0,11.0,2225.0,15.787941176470587,10.0,24.79,24.79,24.79,24.79,24.79,15.280000000000001,15.829999999999998,17.095,15.13,106.96000000000001,126.63999999999999,136.76,166.43,12.39,12.39,12.39,10.0,67,60,,0
2133,103632,East Flanders,Flanders,M,NL,12.0,375.5,2.0,7.0,1.0,2.0,242.0,31.291666666666668,24.79,49.58,24.79,49.58,30.0,37.18,24.79,32.67714285714286,30.0,33.59,49.58,228.74,30.0,67.18,24.79,24.79,30.0,30.0,60,60,,0
2134,103633,East Flanders,Flanders,M,NL,5.0,110.44,,2.0,2.0,1.0,2449.0,22.088,7.44,33.0,,33.0,30.0,7.44,,31.5,20.0,7.44,,63.0,40.0,7.44,,30.0,10.0,7.44,52,50,,0
2135,103634,East Flanders,Flanders,M,NL,42.0,463.4699999999998,8.0,12.0,10.0,12.0,2218.0,11.034999999999995,1.5,24.79,15.0,15.0,24.79,15.0,12.73,10.902499999999998,11.416,9.719999999999999,101.84,130.82999999999998,114.16,116.63999999999999,12.39,1.5,7.44,7.44,48,40,,0
2136,103636,East Flanders,Flanders,M,NL,1.0,32.25,1.0,,,,3237.0,32.25,32.25,32.25,32.25,,,,32.25,,,,32.25,,,,32.25,,,,27,20,,0
2137,103641,East Flanders,Flanders,M,NL,7.0,198.31999999999996,,3.0,4.0,,4184.0,28.331428571428567,24.79,49.58,,24.79,49.58,,,24.790000000000003,30.987499999999997,,,74.37,123.94999999999999,,,24.79,24.79,,39,30,,0
2138,103642,East Flanders,Flanders,M,NL,3.0,81.31,,2.0,1.0,,4626.0,27.103333333333335,24.79,30.24,,30.24,24.79,,,28.259999999999998,24.79,,,56.519999999999996,24.79,,,26.28,24.79,,52,50,,0
2139,103643,East Flanders,Flanders,F,NL,1.0,12.39,,1.0,,,4245.0,12.39,12.39,12.39,,12.39,,,,12.39,,,,12.39,,,,12.39,,,34,30,,0
2140,103644,East Flanders,Flanders,M,NL,1.0,24.79,,,,1.0,4803.0,24.79,24.79,24.79,,,,24.79,,,,24.79,,,,24.79,,,,24.79,49,40,,0
2141,103645,East Flanders,Flanders,F,NL,3.0,74.37,1.0,1.0,1.0,,4744.0,24.790000000000003,24.79,24.79,24.79,24.79,24.79,,24.79,24.79,24.79,,24.79,24.79,24.79,,24.79,24.79,24.79,,64,60,,0
2142,103646,East Flanders,Flanders,M,NL,3.0,17.44,2.0,1.0,,,3959.0,5.8133333333333335,5.0,7.44,5.0,7.44,,,5.0,7.44,,,10.0,7.44,,,5.0,7.44,,,49,40,,0
2143,103647,East Flanders,Flanders,M,NL,7.0,206.20999999999998,1.0,2.0,2.0,2.0,3026.0,29.458571428571425,12.39,37.0,31.6,30.0,37.0,32.23,31.6,21.195,33.995,32.114999999999995,31.6,42.39,67.99,64.22999999999999,31.6,12.39,30.99,32.0,33,30,,0
2144,103649,East Flanders,Flanders,F,NL,3.0,17.44,1.0,1.0,,1.0,2275.0,5.8133333333333335,5.0,7.44,7.44,5.0,,5.0,7.44,5.0,,5.0,7.44,5.0,,5.0,7.44,5.0,,5.0,52,50,,0
2145,103650,East Flanders,Flanders,M,NL,4.0,99.16,,1.0,3.0,,4926.0,24.79,24.79,24.79,,24.79,24.79,,,24.79,24.790000000000003,,,24.79,74.37,,,24.79,24.79,,65,60,,0
